# every line started with # will be ignored
# Before adding new Nodes or Edges, you have to change number after =
# Nodes and Edges are enumerated from 1
# number of Nodes
Nodes = 4
# every node is made of 3 different variables (id, X coordinate, Y coordinate)
1 0 50
2 30 56
3 45 32
4 50 23
# number of Edges
Edges = 5
# every edge is made of 3 different variables (id, begin Node, end Node)
# in the same time begin Node is end Node but in different direction (2 way edge: A->B == B->A)
1 1 2
2 2 3
3 3 4
4 4 2
5 1 3
